Link,Pilseta,Zemes Tips,Zemes Numurs,Datums,Datu iev.,Cena EUR,Cena m2,Platiba Daudzums,Platiba Mervieniba,Adrese
https://www.ss.com/msg/lv/real-estate/plots-and-lands/bauska-and-reg/bauska/fxcxb.html,Bauska un raj.,Zeme privātmājas būvēšanai,40500020350,['Datums: 27.11.2022 21:29'],11/28/2022,26000,13.88,1873,m²,Lakāju 37a 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/bauska-and-reg/bauska/dldhf.html,Bauska un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 18.11.2022 09:56'],11/28/2022,26000,16.25,1600,m²,Birznieku 22 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/cesis-and-reg/priekulu-pag/aidgp.html,Cēsis un raj.,Zeme privātmājas būvēšanai,42720070469,['Datums: 13.11.2022 16:23'],11/28/2022,26000,9.02,2881,m²,Lāčplēša iela 4 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/dobele-and-reg/dobele/bbohx.html,Dobele un raj.,Zeme privātmājas būvēšanai,46460030115,['Datums: 16.11.2022 08:26'],11/28/2022,26000,1.3,2,ha.,Mežiņi 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valmiera-and-reg/valmiera/adfnh.html,Valmiera un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 21.11.2022 14:25'],11/28/2022,26000,13.89,1872,m²,Vairogu 11 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/kuldiga/aapfg.html,Kuldīga un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 07.11.2022 09:45'],11/28/2022,25740,6.5,3960,m²,Darba 6 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/rezekne-and-reg/sakstagala-pag/hoixh.html,Rēzekne un raj.,Lauksaimniecības zeme,78860030011,['Datums: 28.11.2022 17:09'],11/28/2022,25200,6.3,4000,m²,Ciukori 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/aizkraukle-and-reg/plavinas/ihgbi.html,Aizkraukle un raj.,Zeme privātmājas būvēšanai,32130012201,['Datums: 23.11.2022 19:22'],11/28/2022,25000,7.17,3489,m²,Bebrulejas iela 14 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/aluksne-and-reg/alsviku-pag/hejeh.html,Alūksne un raj.,Cits,36420150059,['Datums: 17.10.2022 21:29'],11/28/2022,25000,0.5,5,ha.,Skujenieks 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/cesis-and-reg/marsnenu-pag/jxcmd.html,Cēsis un raj.,Zemes gabals ciemata,4264030016,['Datums: 19.11.2022 19:27'],11/28/2022,25000,1.25,2,ha.,Mārsnēni 
